GO_ID	D8vsD0	D11vsD8	D11vsD0	D18vsD8	D18vsD0
GO:0045202	1	1	4.12342753419462e-32	1	1
GO:0007399	1	1	4.17926791803384e-32	1	9.28827987629891e-10
GO:0043005	1	1	8.42894787553703e-32	1	1
GO:0044297	1	1	1.75441010096301e-31	1	1
GO:0048468	1	1	2.01377741358256e-31	1	2.02881685205377e-09
GO:0120025	1	1	5.58324826294684e-29	1	1
GO:0036477	1	1	1.10811654476786e-28	1	1
GO:0048869	1	1	1.78384455474748e-28	1	3.65640679670861e-12
GO:0030154	1	1	1.93353962009947e-28	1	3.55132832717417e-12
GO:0042995	1	1	1.18749315794807e-27	1	1
GO:0022008	1	1	3.14844338029831e-27	1	2.37568294975841e-09
GO:0043025	1	1	1.81157681439751e-25	1	1
GO:0048699	1	1	1.44323885709708e-24	1	1
GO:0005886	1	1	2.77708533774803e-24	1	8.01039504596993e-12
GO:0030182	1	1	5.30482284866901e-24	1	1
GO:0032989	1	1	2.24779230067474e-23	1	1
GO:0000904	1	1	1.10673500473349e-22	1	1
GO:0031175	1	1	1.26213880273582e-22	1	1
GO:0043269	1	1	8.50439123652959e-22	1	1
GO:0007267	1	1	1.02905959604043e-21	1	1
GO:0048666	1	1	1.52766365096928e-21	1	1
GO:0030424	1	1	2.02277419956732e-21	1	1
GO:0048858	1	1	2.90781526441709e-21	1	1
GO:0051049	1	1	3.02569835604583e-21	1	1
GO:0032501	1	1	9.01627918684529e-21	1.95900286263611e-06	1.06634133778167e-10
GO:0120039	1	1	1.43299768711335e-20	1	1
GO:0032990	1	1	1.44257006177212e-20	1	1
GO:0030030	1	1	4.7598909587341e-20	1	1
GO:0048812	1	1	6.13605864612536e-20	1	1
GO:0120036	1	1	8.84453529753987e-20	1	1
GO:0000902	1	1	1.07392387396289e-19	1	1
GO:0048667	1	1	7.57276019829722e-19	1	1
GO:0006936	1	1	1.3705093455758e-18	1	1
GO:0061564	1	1	1.44141177391024e-18	1	1
GO:0097447	1	1	1.49175038682462e-18	1	1
GO:0030425	1	1	3.01106558951306e-18	1	1
GO:0042383	1	1	3.10461745386955e-18	1	1
GO:0098916	1	1	5.90799808027423e-18	1	1
GO:0007268	1	1	5.90799808027423e-18	1	1
GO:0023051	1	1	7.05965949882689e-18	3.33145417144767e-06	1
GO:0010646	1	1	1.36257272904222e-17	2.95811875029477e-06	1
GO:0099536	1	1	1.58678434630994e-17	1	1
GO:0099537	1	1	1.59276392436558e-17	1	1
GO:0061061	1	1	1.66020957593221e-17	1	1
GO:0007409	1	1	4.04654890059974e-17	1	1
GO:0006812	1	1	9.96807990780626e-17	1	1
GO:0034762	1	1	1.16244538510502e-16	1	1
GO:0065007	1	1	5.41392479892368e-16	1	1
GO:0098794	1	1	5.95988664432365e-16	1	1
GO:0050794	1	1	6.58246612500127e-16	1	1
GO:0050789	1	1	6.59914438196379e-16	3.55646118012947e-07	1
GO:0150034	1	1	2.07677462534857e-15	1	1
GO:0023052	1	1	4.96730623784572e-15	1	1
GO:0005509	1	1	6.79282523092282e-15	1	1
GO:0003012	1	1	7.1808796090976e-15	1	1
GO:0065008	1	1	8.59610154478033e-15	1	1
GO:0098857	1	1	2.00918477126747e-14	1	1
GO:0007154	1	1	2.24213639281439e-14	1	1
GO:0005576	1	1	1	2.66671026810169e-18	2.13739279475377e-27
GO:0005615	1	1	1	1.2690792066108e-16	1.74684274903409e-22
GO:0048583	1	1	1	1.91021045849204e-10	4.63229650078121e-14
GO:0048514	1	1	1	1.58712733447108e-09	1.01762136698106e-12
GO:0048584	1	1	1	1.30575117298385e-08	5.57115046575422e-11
GO:0001501	1	1	1	2.67461692465065e-08	2.0983111016842e-09
GO:0050896	1	1	1	7.07624697873499e-08	1
GO:0001525	1	1	1	7.91494398263746e-08	7.53748798175988e-09
GO:0002376	1	1	1	1.07586492549355e-07	8.51386076424327e-10
GO:0009790	1	1	1	1.17378116781387e-07	1
GO:0009966	1	1	1	1.33049403942017e-07	1
GO:0048407	1	1	1	1.34430600310768e-07	1
GO:0007166	1	1	1	1.66344553351954e-07	3.85566583032565e-09
GO:0001527	1	1	1	2.16432396850002e-07	1
GO:0032963	1	1	1	3.58474490843822e-07	8.9350282695755e-10
